chain_id,day,user_id,length,score_mean,score_min
36166,0,899121,2,0.9123,0.9123
36166,1,2037937,2,0.9123,0.9123
36167,0,1161268,2,0.65,0.65
36167,1,1968062,2,0.65,0.65
36168,0,636983,2,0.975,0.975
36168,1,3407263,2,0.975,0.975
36169,0,505915,2,0.9989,0.9989
36169,1,3981310,2,0.9989,0.9989
36170,0,1947711,2,0.674,0.674
36170,1,4400247,2,0.674,0.674
36171,0,1292356,2,0.665,0.665
36171,1,1637280,2,0.665,0.665
36172,0,899144,2,1.0,1.0
36172,1,3882472,2,1.0,1.0
36173,0,243798,2,0.6526,0.6526
36173,1,4580301,2,0.6526,0.6526
36174,0,1423456,2,0.65,0.65
36174,1,4433726,2,0.65,0.65
36175,0,768097,2,0.7327,0.7327
36175,1,1508515,2,0.7327,0.7327
36176,0,374884,2,0.9125,0.9125
36176,1,4118065,2,0.9125,0.9125
36177,0,899176,2,0.7805,0.7805
36177,1,4613348,2,0.7805,0.7805
36178,0,768105,2,0.6589,0.6589
36178,1,3344836,2,0.6589,0.6589
36179,0,1064472,2,0.6802,0.6802
36179,1,1927589,2,0.6802,0.6802
36180,0,899182,2,0.9913,0.9913
36180,1,1427412,2,0.9913,0.9913
36181,0,1030257,2,0.65,0.65
36181,1,4177373,2,0.65,0.65
36182,0,1161330,2,0.65,0.65
36182,1,1988209,2,0.65,0.65
36183,0,1161336,2,0.7057,0.7057
36183,1,3995706,2,0.7057,0.7057
36184,0,505978,2,0.8078,0.8078
36184,1,1455425,2,0.8078,0.8078
36185,0,374921,2,0.9083,0.9083
36185,1,1913037,2,0.9083,0.9083
36186,0,1030285,2,0.6582,0.6582
36186,1,4279514,2,0.6582,0.6582
36187,0,243857,2,0.9152,0.9152
36187,1,4186578,2,0.9152,0.9152
36188,0,1554585,2,0.651,0.651
36188,1,4034018,2,0.651,0.651
36189,0,506012,2,0.7581,0.7581
36189,1,1866638,2,0.7581,0.7581
36190,0,1292444,2,0.6583,0.6583
36190,1,4518028,2,0.6583,0.6583
36191,0,506019,2,0.7167,0.7167
36191,1,3756141,2,0.7167,0.7167
36192,0,374949,2,0.8891,0.8891
36192,1,3778420,2,0.8891,0.8891
36193,0,374950,2,0.9186,0.9186
36193,1,1361066,2,0.9186,0.9186
36194,0,2472105,2,0.6567,0.6567
36194,1,2160281,2,0.6567,0.6567
36195,0,1161386,2,0.7317,0.7317
36195,1,1471491,2,0.7317,0.7317
36196,0,899242,2,0.825,0.825
36196,1,2314571,2,0.825,0.825
36197,0,1161388,2,0.6589,0.6589
36197,1,2465590,2,0.6589,0.6589
36198,0,1161393,2,0.7917,0.7917
36198,1,2127717,2,0.7917,0.7917
36199,0,1030321,2,0.6516,0.6516
36199,1,1612192,2,0.6516,0.6516
36200,0,374964,2,0.9167,0.9167
36200,1,3610880,2,0.9167,0.9167
36201,0,1030326,2,0.7352,0.7352
36201,1,2003350,2,0.7352,0.7352
36202,0,374968,2,0.8579,0.8579
36202,1,3440084,2,0.8579,0.8579
36203,0,899258,2,0.6771,0.6771
36203,1,2120346,2,0.6771,0.6771
36204,0,1423546,2,0.6503,0.6503
36204,1,3935742,2,0.6503,0.6503
36205,0,1685695,2,0.689,0.689
36205,1,4491029,2,0.689,0.689
36206,0,1292480,2,0.6525,0.6525
36206,1,6540594,2,0.6525,0.6525
36207,0,243907,2,0.9489,0.9489
36207,1,1618256,2,0.9489,0.9489
36208,0,506058,2,0.8796,0.8796
36208,1,3087030,2,0.8796,0.8796
36209,0,112857,2,0.8291,0.8291
36209,1,1902549,2,0.8291,0.8291
36210,0,768224,2,0.75,0.75
36210,1,4087563,2,0.75,0.75
36211,0,899298,2,0.7417,0.7417
36211,1,1753387,2,0.7417,0.7417
36212,0,1423591,2,0.6647,0.6647
36212,1,1837753,2,0.6647,0.6647
36213,0,1161449,2,0.65,0.65
36213,1,4708801,2,0.65,0.65
36214,0,4438251,2,0.6504,0.6504
36214,1,2103607,2,0.6504,0.6504
36215,0,899310,2,0.8712,0.8712
36215,1,2016393,2,0.8712,0.8712
36216,0,899311,2,0.8785,0.8785
36216,1,4497862,2,0.8785,0.8785
36217,0,768239,2,0.6575,0.6575
36217,1,3853533,2,0.6575,0.6575
36218,0,1030386,2,0.6833,0.6833
36218,1,2548484,2,0.6833,0.6833
36219,0,1030387,2,0.6519,0.6519
36219,1,4349112,2,0.6519,0.6519
36220,0,637172,2,0.7083,0.7083
36220,1,1938038,2,0.7083,0.7083
36221,0,637175,2,0.8866,0.8866
36221,1,1433328,2,0.8866,0.8866
36222,0,899326,2,0.8103,0.8103
36222,1,3850703,2,0.8103,0.8103
36223,0,112896,2,0.8496,0.8496
36223,1,1494364,2,0.8496,0.8496
36224,0,899328,2,0.9467,0.9467
36224,1,1562487,2,0.9467,0.9467
36225,0,506122,2,0.9342,0.9342
36225,1,3501196,2,0.9342,0.9342
36226,0,506125,2,0.8252,0.8252
36226,1,3590620,2,0.8252,0.8252
36227,0,768278,2,0.7855,0.7855
36227,1,3186022,2,0.7855,0.7855
36228,0,768284,2,0.9717,0.9717
36228,1,4144512,2,0.9717,0.9717
36229,0,637214,2,0.825,0.825
36229,1,4169467,2,0.825,0.825
36230,0,243998,2,0.9844,0.9844
36230,1,6746928,2,0.9844,0.9844
36231,0,1161504,2,0.742,0.742
36231,1,1820576,2,0.742,0.742
36232,0,1030439,2,0.8142,0.8142
36232,1,3534976,2,0.8142,0.8142
36233,0,768298,2,0.7617,0.7617
36233,1,1883738,2,0.7617,0.7617
36234,0,506155,2,0.8194,0.8194
36234,1,3713063,2,0.8194,0.8194
36235,0,1423660,2,0.6901,0.6901
36235,1,4381712,2,0.6901,0.6901
36236,0,1161518,2,0.6583,0.6583
36236,1,6724312,2,0.6583,0.6583
36237,0,768306,2,0.6583,0.6583
36237,1,3365363,2,0.6583,0.6583
36238,0,244020,2,0.8535,0.8535
36238,1,1525608,2,0.8535,0.8535
36239,0,375093,2,0.8809,0.8809
36239,1,6630932,2,0.8809,0.8809
36240,0,899383,2,0.975,0.975
36240,1,4233872,2,0.975,0.975
36241,0,899385,2,0.75,0.75
36241,1,1570141,2,0.75,0.75
36242,0,1030457,2,0.6583,0.6583
36242,1,3890037,2,0.6583,0.6583
36243,0,375099,2,0.902,0.902
36243,1,4097475,2,0.902,0.902
36244,0,1292604,2,0.688,0.688
36244,1,2079988,2,0.688,0.688
36245,0,2341182,2,0.6525,0.6525
36245,1,4476503,2,0.6525,0.6525
36246,0,244036,2,0.975,0.975
36246,1,1694524,2,0.975,0.975
36247,0,506183,2,0.8189,0.8189
36247,1,3836015,2,0.8189,0.8189
36248,0,768330,2,0.7417,0.7417
36248,1,3815625,2,0.7417,0.7417
36249,0,1292620,2,0.7159,0.7159
36249,1,4048832,2,0.7159,0.7159
36250,0,375118,2,0.65,0.65
36250,1,4145474,2,0.65,0.65
36251,0,1554771,2,0.6906,0.6906
36251,1,1632862,2,0.6906,0.6906
36252,0,1947987,2,0.6509,0.6509
36252,1,4339423,2,0.6509,0.6509
36253,0,1423702,2,0.6907,0.6907
36253,1,2088799,2,0.6907,0.6907
36254,0,899416,2,0.812,0.812
36254,1,1847166,2,0.812,0.812
36255,0,899417,2,0.8865,0.8865
36255,1,2018545,2,0.8865,0.8865
36256,0,375133,2,0.875,0.875
36256,1,1409090,2,0.875,0.875
36257,0,1292641,2,0.65,0.65
36257,1,3223728,2,0.65,0.65
36258,0,1030498,2,0.6929,0.6929
36258,1,4364065,2,0.6929,0.6929
36259,0,768353,2,0.852,0.852
36259,1,4062869,2,0.852,0.852
36260,0,768354,2,0.8563,0.8563
36260,1,1603831,2,0.8563,0.8563
36261,0,768357,2,0.6667,0.6667
36261,1,4170783,2,0.6667,0.6667
36262,0,244070,2,0.8814,0.8814
36262,1,1984397,2,0.8814,0.8814
36263,0,1030510,2,0.6503,0.6503
36263,1,1531510,2,0.6503,0.6503
36264,0,4438386,2,0.656,0.656
36264,1,4206323,2,0.656,0.656
36265,0,244083,2,0.8678,0.8678
36265,1,1974812,2,0.8678,0.8678
36266,0,375161,2,0.8666,0.8666
36266,1,3826423,2,0.8666,0.8666
36267,0,506240,2,0.8119,0.8119
36267,1,1425044,2,0.8119,0.8119
36268,0,1030530,2,0.7336,0.7336
36268,1,4284202,2,0.7336,0.7336
36269,0,2079114,2,0.6611,0.6611
36269,1,4224440,2,0.6611,0.6611
36270,0,899477,2,0.8538,0.8538
36270,1,3877961,2,0.8538,0.8538
36271,0,1030551,2,0.6879,0.6879
36271,1,4144243,2,0.6879,0.6879
36272,0,244122,2,0.9592,0.9592
36272,1,1363159,2,0.9592,0.9592
36273,0,244123,2,0.7944,0.7944
36273,1,2047802,2,0.7944,0.7944
36274,0,506268,2,0.894,0.894
36274,1,1854564,2,0.894,0.894
36275,0,244125,2,0.9534,0.9534
36275,1,4248490,2,0.9534,0.9534
36276,0,375204,2,0.8812,0.8812
36276,1,1462627,2,0.8812,0.8812
36277,0,1161648,2,0.65,0.65
36277,1,4457195,2,0.65,0.65
36278,0,1161653,2,0.65,0.65
36278,1,2646239,2,0.65,0.65
36279,0,1292729,2,0.6958,0.6958
36279,1,2096904,2,0.6958,0.6958
36280,0,375226,2,0.881,0.881
