X,Y,cellid,lat,lon,PosXcd_142,PosYcd_142
-870960.793466034,-999655.156310537,BSOROT2,50.301654999999997,12.556011000000000,-870961,-999655
-853284.430748394,-1005794.53143021,BKVMEZ1,50.272486999999998,12.814619000000000,-853284,-1005795
-855648.473398204,-1005470.79894978,BKVNVR4,50.272005999999998,12.781154000000001,-855648,-1005471
-852461.73702798,-1009462.42989048,BKVDVO2,50.241086000000003,12.834114000000000,-852462,-1009462
-850217.313500414,-1011159.65369212,UKVBER202,50.229187000000003,12.868923000000001,-850217,-1011160
-849147.847686958,-1010607.81770609,UKVKOL101,50.235595000000004,12.882515000000000,-849148,-1010608
-852012.109203001,-1011435.84591605,BKVARE1,50.224200000000003,12.844689000000001,-852012,-1011436
-849147.847686958,-1010607.81770609,BKVKOL3,50.235595000000004,12.882515000000000,-849148,-1010608
-835157.130515026,-1001329.27338341,BKVSTR4,50.337570999999997,13.056196000000000,-835157,-1001329
-851338.789768683,-1010402.36195704,UKVLIS102,50.234327999999998,12.851732000000000,-851339,-1010402
-871738.499270854,-1004719.81928144,BSOGLA4,50.255588000000003,12.556687000000000,-871738,-1004720
-849918.84626857,-1011228.57433722,BKVTGM1,50.228996000000002,12.873206000000000,-849919,-1011229
-852109.629447203,-1013680.11715534,UKVDHO102,50.204135000000001,12.848283000000000,-852110,-1013680
-850079.511729389,-996919.562987549,BKVPLE1,50.355822000000003,12.839435000000000,-850080,-996920
-850357.959370354,-1010627.25441797,DKVSPO2,50.233716000000001,12.865805000000000,-850358,-1010627
-855883.515365693,-987642.43168259,BKVPOT3,50.429938999999997,12.738220000000000,-855884,-987642
-851468.263952713,-1011128.44918539,UKVSUM101,50.227697999999997,12.851539000000001,-851468,-1011128
-851468.263952713,-1011128.44918539,UKVSUM104,50.227697999999997,12.851539000000001,-851468,-1011128
-864915.96171528,-1015064.17196619,BSOSLA2,50.173617000000000,12.674275000000000,-864916,-1015064
-853602.313972017,-994819.894788662,BKVPER2,50.369470000000000,12.785888000000000,-853602,-994820
-849241.900686844,-1011643.9296669,BKVNAV3,50.226261999999998,12.883489000000001,-849242,-1011644
-849241.900686844,-1011643.9296669,UKVNAV103,50.226261999999998,12.883489000000001,-849242,-1011644
-860653.499333496,-1012975.19026133,BSONOS2,50.198258000000003,12.728547000000001,-860653,-1012975
-847194.984152851,-1009679.65810288,UKVVSE103,50.246586000000001,12.907518000000000,-847195,-1009680
-840466.80104981,-994108.521344195,DKVKLC4,50.394306000000000,12.966730999999999,-840467,-994109
-866036.402588278,-1014455.11111652,DSOTKB2,50.177415000000003,12.657429000000000,-866036,-1014455
-851338.789768683,-1010402.36195704,BKVLIS4,50.234327999999998,12.851732000000000,-851339,-1010402
-849918.84626857,-1011228.57433722,BKVTGM2,50.228996000000002,12.873206000000000,-849919,-1011229
-858779.712241709,-998976.075248578,BKVNJD3,50.325200000000002,12.723312999999999,-858780,-998976
-852778.801343367,-1010857.69580359,BKVCHE2,50.228248999999998,12.832803000000000,-852779,-1010858
-849644.874194732,-1011642.02328817,BKVSAD2,50.225710999999997,12.877907000000000,-849645,-1011642
-844916.346175012,-996272.39424162,BKVJAC1,50.368848999999997,12.909679000000001,-844916,-996272
-853602.313972017,-994819.894788662,BKVPER3,50.369470000000000,12.785888000000000,-853602,-994820
-843794.115199249,-997536.480698754,BKVJAS2,50.359200000000001,12.928034999999999,-843794,-997536
-857276.35927712,-1020354.08525154,BSOHOS3,50.137560000000001,12.791579000000000,-857276,-1020354
-858692.001697281,-1013845.4749993,VSOYLO104,50.193328999999999,12.757605000000000,-858692,-1013845
-846499.375475248,-1011195.19879147,BKVSTE3,50.234105000000000,12.920470999999999,-846499,-1011195
-850294.262843696,-1010237.35323499,BKVPAN2,50.237268000000000,12.865829000000000,-850294,-1010237
-851422.554985051,-1009960.05147717,BKVUKO1,50.238137000000002,12.849598000000000,-851423,-1009960
-851338.789768683,-1010402.36195704,UKVLIS101,50.234327999999998,12.851732000000000,-851339,-1010402
-853591.42749296,-1013121.04086188,UKVSTU101,50.207003000000000,12.826551000000000,-853591,-1013121
-848645.380294143,-1014039.66343977,BKVVIV4,50.205827999999997,12.897002000000001,-848645,-1014040
-857220.274504267,-1012290.46958979,BKVHOR1,50.209228000000003,12.774513000000001,-857220,-1012290
-871674.986267847,-1005861.98258115,BSOOLO1,50.245545000000000,12.560145000000000,-871675,-1005862
-853745.849810662,-1011381.40355592,UKVDVR104,50.222230000000003,12.820575000000000,-853746,-1011381
-852461.73702798,-1009462.42989048,UKVDVO203,50.241086000000003,12.834114000000000,-852462,-1009462
-850217.313500414,-1011159.65369212,BKVBER1,50.229187000000003,12.868923000000001,-850217,-1011160
-858916.868156726,-1008195.93090824,VSOYCS101,50.243161000000001,12.741947000000000,-858917,-1008196
-846499.375475248,-1011195.19879147,UKVSTE104,50.234105000000000,12.920470999999999,-846499,-1011195
-843502.162686548,-1004389.69161818,VKVYOT103,50.298748000000003,12.947101000000000,-843502,-1004390
-874123.99801417,-1020670.09153953,BSOKYN1,50.110599000000001,12.559685999999999,-874124,-1020670
-849732.95036947,-1012321.08102488,UKVPUP201,50.219557000000002,12.878180000000000,-849733,-1012321
-849732.95036947,-1012321.08102488,UKVPUP101,50.219557000000002,12.878180000000000,-849733,-1012321
-853878.862086102,-1018857.49956921,BKVKFE2,50.155662999999997,12.835220000000000,-853879,-1018857
-852012.109203001,-1011435.84591605,BKVARE3,50.224200000000003,12.844689000000001,-852012,-1011436
-852778.801343367,-1010857.69580359,BKVCHE1,50.228248999999998,12.832803000000000,-852779,-1010858
-833536.534730571,-990218.67653623,BCVKOV3,50.438515000000002,13.054582999999999,-833537,-990219
-852012.109203001,-1011435.84591605,BKVARE2,50.224200000000003,12.844689000000001,-852012,-1011436
-843502.162686548,-1004389.69161818,BKVOKO1,50.298748000000003,12.947101000000000,-843502,-1004390
-873947.618633522,-1008800.88598692,BSOKRJ1,50.216174000000002,12.535347000000000,-873948,-1008801
-847194.984152851,-1009679.65810288,UKVVSE204,50.246586000000001,12.907518000000000,-847195,-1009680
-853284.430748394,-1005794.53143021,BKVMEZ3,50.272486999999998,12.814619000000000,-853284,-1005795
-849241.900686844,-1011643.9296669,DKVNAV3,50.226261999999998,12.883489000000001,-849242,-1011644
-852012.109203001,-1011435.84591605,UKVARE104,50.224200000000003,12.844689000000001,-852012,-1011436
-856089.866219901,-1019987.87443076,VSOYHP102,50.142494999999997,12.807161000000001,-856090,-1019988
-838723.367687297,-992066.390873244,BCVLOU3,50.414879999999997,12.986492000000000,-838723,-992066
-857618.898768264,-999905.301183768,BKVNEJ4,50.318607999999998,12.741479000000000,-857619,-999905
